iter	Logloss
0	0.6693387726
1	0.6540010708
2	0.6398246344
3	0.6264664645
4	0.6131511121
5	0.6027560171
6	0.5884844181
7	0.5791544734
8	0.5669217442
9	0.5560049913
10	0.546964269
11	0.5364258115
12	0.5273839726
13	0.52216358
14	0.5124426184
15	0.5041582386
16	0.4970062815
17	0.4899042055
18	0.478784961
19	0.4703307751
20	0.4631121409
21	0.453927988
22	0.4489677704
23	0.4407133542
24	0.43111194
25	0.4249239186
26	0.4168786805
27	0.4110262979
28	0.4063961727
29	0.3988667284
30	0.3917605732
31	0.3858350736
32	0.3793319898
33	0.3770634984
34	0.3722320591
35	0.3683332463
36	0.3628479645
37	0.3584121163
38	0.3541299038
39	0.3484510159
40	0.3445052121
41	0.3378639318
42	0.3330933197
43	0.330071884
44	0.3258481975
45	0.3223632186
46	0.316519115
47	0.3143433414
48	0.3108874856
49	0.3085166951
50	0.3044214146
51	0.3018895189
52	0.2984107077
53	0.2943260927
54	0.2904516889
55	0.2873019904
56	0.2842369334
57	0.2821845298
58	0.2800636355
59	0.2771979063
60	0.273771157
61	0.2719928093
62	0.2690778101
63	0.2668311791
64	0.2633834896
65	0.2612976069
66	0.2588155976
67	0.2553186084
68	0.2535720088
69	0.2499797478
70	0.2471137197
71	0.244475282
72	0.2426247304
73	0.2413095599
74	0.2385837007
75	0.2363102511
76	0.2332837561
77	0.230485625
78	0.2269667148
79	0.2237604179
80	0.2214772211
81	0.2202556141
82	0.2189356399
83	0.2166286877
84	0.2148444851
85	0.2133602629
86	0.2119056299
87	0.2090706653
88	0.2080221831
89	0.2045574899
90	0.2036927486
91	0.2018118656
92	0.1988494341
93	0.1967743536
94	0.1950354075
95	0.1934304172
96	0.1923373077
97	0.1906976832
98	0.188961951
99	0.1872296803
100	0.1857965429
101	0.1834882287
102	0.1818996623
103	0.1803178075
104	0.1784463262
105	0.1769974417
106	0.1759722673
107	0.1735806624
108	0.1721179707
109	0.1697415668
110	0.1683288185
111	0.1660178966
112	0.1651052893
113	0.1637490843
114	0.1619243097
115	0.1605017242
116	0.1591240335
117	0.1581631934
118	0.1565012904
119	0.1553024379
120	0.1542656826
121	0.152837875
122	0.1515456549
123	0.1499985816
124	0.1491284797
125	0.1476586179
126	0.1462544993
127	0.1446189736
128	0.1433821704
129	0.1429801602
130	0.1415143886
131	0.1407002215
132	0.1389939076
133	0.1379989494
